date,train_id,station_name,station_order,distance_km,scheduled_arrival,actual_arrival,delay_minutes
2026-08-08,40003,CHENNAI BEACH,1,0,,,0.0
2026-08-08,40003,CHENNAI FORT,2,2,07:14,07:14,0.0
2026-08-08,40003,CHENNAI PARK,3,3,07:17,07:17,0.0
2026-08-08,40003,CHENNAI EGMORE,4,4,07:20,07:20,0.0
2026-08-08,40003,CHENNAI CHETPAT,5,6,07:24,07:24,0.0
2026-08-08,40003,NUNGAMBAKKAM,6,8,07:27,07:27,0.0
2026-08-08,40003,KODAMBAKKAM,7,9,07:30,07:31,1.0
2026-08-08,40003,MAMBALAM,8,11,07:33,07:33,0.0
2026-08-08,40003,SAIDAPET,9,13,07:36,07:36,0.0
2026-08-08,40003,GUINDY,10,15,07:39,07:39,0.0
2026-08-08,40003,ST THOMAS MOUNT,11,17,07:42,07:43,1.0
2026-08-08,40003,PALAVANTHANGAL,12,18,07:45,07:45,0.0
2026-08-08,40003,MINAMBAKKAM,13,20,07:48,07:48,0.0
2026-08-08,40003,TIRUSULAM,14,22,07:50,07:50,0.0
2026-08-08,40003,PALLAVARAM,15,23,07:53,07:55,2.0
2026-08-08,40003,CHROMEPET,16,25,07:56,07:56,0.0
2026-08-08,40003,TAMBARAM SANATORIUM,17,28,07:59,07:59,0.0
2026-08-08,40003,TAMBARAM,18,29,08:10,08:10,0.0
2026-08-08,40045,CHENNAI BEACH,1,0,,,0.0
2026-08-08,40045,CHENNAI FORT,2,2,12:49,12:49,0.0
2026-08-08,40045,CHENNAI PARK,3,3,12:52,12:54,2.0
2026-08-08,40045,CHENNAI EGMORE,4,4,12:55,12:58,3.0
2026-08-08,40045,CHENNAI CHETPAT,5,6,12:59,12:59,0.0
2026-08-08,40045,NUNGAMBAKKAM,6,8,13:02,13:02,0.0
2026-08-08,40045,KODAMBAKKAM,7,9,13:05,13:06,1.0
2026-08-08,40045,MAMBALAM,8,11,13:08,13:08,0.0
2026-08-08,40045,SAIDAPET,9,13,13:11,13:11,0.0
2026-08-08,40045,GUINDY,10,15,13:14,13:14,0.0
2026-08-08,40045,ST THOMAS MOUNT,11,17,13:17,13:17,0.0
2026-08-08,40045,PALAVANTHANGAL,12,18,13:20,13:20,0.0
2026-08-08,40045,MINAMBAKKAM,13,20,13:23,13:23,0.0
2026-08-08,40045,TIRUSULAM,14,22,13:25,13:25,0.0
2026-08-08,40045,PALLAVARAM,15,23,13:28,13:28,0.0
2026-08-08,40045,CHROMEPET,16,25,13:31,13:31,0.0
2026-08-08,40045,TAMBARAM SANATORIUM,17,28,13:34,13:34,0.0
2026-08-08,40045,TAMBARAM,18,29,13:45,13:45,0.0
2026-08-08,40046,TAMBARAM,1,0,,,0.0
2026-08-08,40046,TAMBARAM SANATORIUM,2,1,12:24,12:24,0.0
2026-08-08,40046,CHROMEPET,3,4,12:27,12:27,0.0
2026-08-08,40046,PALLAVARAM,4,6,12:30,12:32,2.0
2026-08-08,40046,TIRUSULAM,5,8,12:33,12:33,0.0
2026-08-08,40046,MINAMBAKKAM,6,9,12:35,12:35,0.0
2026-08-08,40046,PALAVANTHANGAL,7,10,12:38,12:38,0.0
2026-08-08,40046,ST THOMAS MOUNT,8,12,12:41,12:44,3.0
2026-08-08,40046,GUINDY,9,14,12:44,12:47,3.0
2026-08-08,40046,SAIDAPET,10,16,12:47,12:50,3.0
2026-08-08,40046,MAMBALAM,11,18,12:50,12:53,3.0
2026-08-08,40046,KODAMBAKKAM,12,19,12:53,12:53,0.0
2026-08-08,40046,NUNGAMBAKKAM,13,21,12:56,12:56,0.0
2026-08-08,40046,CHENNAI CHETPAT,14,23,12:59,12:59,0.0
2026-08-08,40046,CHENNAI EGMORE,15,25,13:02,13:02,0.0
2026-08-08,40046,CHENNAI PARK,16,26,13:05,13:05,0.0
2026-08-08,40046,CHENNAI FORT,17,27,13:08,13:08,0.0
2026-08-08,40046,CHENNAI BEACH,18,29,13:20,13:20,0.0
2026-08-08,49003,CHENNAI BEACH,1,0,,,5.0
2026-08-08,49003,CHENNAI FORT,2,2,09:47,09:52,5.0
2026-08-08,49003,CHENNAI PARK,3,3,09:50,09:56,6.0
2026-08-08,49003,CHENNAI EGMORE,4,4,09:53,10:00,7.0
2026-08-08,49003,CHENNAI CHETPAT,5,6,09:57,10:01,4.0
2026-08-08,49003,NUNGAMBAKKAM,6,8,10:00,10:04,4.0
2026-08-08,49003,KODAMBAKKAM,7,9,10:03,10:11,8.0
2026-08-08,49003,MAMBALAM,8,11,10:06,10:13,7.0
2026-08-08,49003,SAIDAPET,9,13,10:09,10:16,7.0
2026-08-08,49003,GUINDY,10,15,10:12,10:19,7.0
2026-08-08,49003,ST THOMAS MOUNT,11,17,10:15,10:23,8.0
2026-08-08,49003,PALAVANTHANGAL,12,18,10:18,10:25,7.0
2026-08-08,49003,MINAMBAKKAM,13,20,10:21,10:28,7.0
2026-08-08,49003,TIRUSULAM,14,22,10:23,10:30,7.0
2026-08-08,49003,PALLAVARAM,15,23,10:26,10:36,10.0
2026-08-08,49003,CHROMEPET,16,25,10:29,10:39,10.0
2026-08-08,49003,TAMBARAM SANATORIUM,17,28,10:32,10:42,10.0
2026-08-08,49003,TAMBARAM,18,29,10:43,10:46,3.0
