date,train_id,station_name,station_order,distance_km,scheduled_hour,day_of_week,is_weekend,is_peak_hour,prev_station_delay,delay_minutes
2026-08-08,40003,CHENNAI FORT,2,2,7,5,1,1,0.0,0.0
2026-08-08,40003,CHENNAI PARK,3,3,7,5,1,1,0.0,0.0
2026-08-08,40003,CHENNAI EGMORE,4,4,7,5,1,1,0.0,0.0
2026-08-08,40003,CHENNAI CHETPAT,5,6,7,5,1,1,0.0,0.0
2026-08-08,40003,NUNGAMBAKKAM,6,8,7,5,1,1,0.0,0.0
2026-08-08,40003,KODAMBAKKAM,7,9,7,5,1,1,0.0,1.0
2026-08-08,40003,MAMBALAM,8,11,7,5,1,1,1.0,0.0
2026-08-08,40003,SAIDAPET,9,13,7,5,1,1,0.0,0.0
2026-08-08,40003,GUINDY,10,15,7,5,1,1,0.0,0.0
2026-08-08,40003,ST THOMAS MOUNT,11,17,7,5,1,1,0.0,1.0
2026-08-08,40003,PALAVANTHANGAL,12,18,7,5,1,1,1.0,0.0
2026-08-08,40003,MINAMBAKKAM,13,20,7,5,1,1,0.0,0.0
2026-08-08,40003,TIRUSULAM,14,22,7,5,1,1,0.0,0.0
2026-08-08,40003,PALLAVARAM,15,23,7,5,1,1,0.0,2.0
2026-08-08,40003,CHROMEPET,16,25,7,5,1,1,2.0,0.0
2026-08-08,40003,TAMBARAM SANATORIUM,17,28,7,5,1,1,0.0,0.0
2026-08-08,40003,TAMBARAM,18,29,8,5,1,1,0.0,0.0
2026-08-08,40045,CHENNAI FORT,2,2,12,5,1,0,0.0,0.0
2026-08-08,40045,CHENNAI PARK,3,3,12,5,1,0,0.0,2.0
2026-08-08,40045,CHENNAI EGMORE,4,4,12,5,1,0,2.0,3.0
2026-08-08,40045,CHENNAI CHETPAT,5,6,12,5,1,0,3.0,0.0
2026-08-08,40045,NUNGAMBAKKAM,6,8,13,5,1,0,0.0,0.0
2026-08-08,40045,KODAMBAKKAM,7,9,13,5,1,0,0.0,1.0
2026-08-08,40045,MAMBALAM,8,11,13,5,1,0,1.0,0.0
2026-08-08,40045,SAIDAPET,9,13,13,5,1,0,0.0,0.0
2026-08-08,40045,GUINDY,10,15,13,5,1,0,0.0,0.0
2026-08-08,40045,ST THOMAS MOUNT,11,17,13,5,1,0,0.0,0.0
2026-08-08,40045,PALAVANTHANGAL,12,18,13,5,1,0,0.0,0.0
2026-08-08,40045,MINAMBAKKAM,13,20,13,5,1,0,0.0,0.0
2026-08-08,40045,TIRUSULAM,14,22,13,5,1,0,0.0,0.0
2026-08-08,40045,PALLAVARAM,15,23,13,5,1,0,0.0,0.0
2026-08-08,40045,CHROMEPET,16,25,13,5,1,0,0.0,0.0
2026-08-08,40045,TAMBARAM SANATORIUM,17,28,13,5,1,0,0.0,0.0
2026-08-08,40045,TAMBARAM,18,29,13,5,1,0,0.0,0.0
2026-08-08,40046,TAMBARAM SANATORIUM,2,1,12,5,1,0,0.0,0.0
2026-08-08,40046,CHROMEPET,3,4,12,5,1,0,0.0,0.0
2026-08-08,40046,PALLAVARAM,4,6,12,5,1,0,0.0,2.0
2026-08-08,40046,TIRUSULAM,5,8,12,5,1,0,2.0,0.0
2026-08-08,40046,MINAMBAKKAM,6,9,12,5,1,0,0.0,0.0
2026-08-08,40046,PALAVANTHANGAL,7,10,12,5,1,0,0.0,0.0
2026-08-08,40046,ST THOMAS MOUNT,8,12,12,5,1,0,0.0,3.0
2026-08-08,40046,GUINDY,9,14,12,5,1,0,3.0,3.0
2026-08-08,40046,SAIDAPET,10,16,12,5,1,0,3.0,3.0
2026-08-08,40046,MAMBALAM,11,18,12,5,1,0,3.0,3.0
2026-08-08,40046,KODAMBAKKAM,12,19,12,5,1,0,3.0,0.0
2026-08-08,40046,NUNGAMBAKKAM,13,21,12,5,1,0,0.0,0.0
2026-08-08,40046,CHENNAI CHETPAT,14,23,12,5,1,0,0.0,0.0
2026-08-08,40046,CHENNAI EGMORE,15,25,13,5,1,0,0.0,0.0
2026-08-08,40046,CHENNAI PARK,16,26,13,5,1,0,0.0,0.0
2026-08-08,40046,CHENNAI FORT,17,27,13,5,1,0,0.0,0.0
2026-08-08,40046,CHENNAI BEACH,18,29,13,5,1,0,0.0,0.0
2026-08-08,49003,CHENNAI FORT,2,2,9,5,1,1,0.0,5.0
2026-08-08,49003,CHENNAI PARK,3,3,9,5,1,1,5.0,6.0
2026-08-08,49003,CHENNAI EGMORE,4,4,9,5,1,1,6.0,7.0
2026-08-08,49003,CHENNAI CHETPAT,5,6,9,5,1,1,7.0,4.0
2026-08-08,49003,NUNGAMBAKKAM,6,8,10,5,1,0,4.0,4.0
2026-08-08,49003,KODAMBAKKAM,7,9,10,5,1,0,4.0,8.0
2026-08-08,49003,MAMBALAM,8,11,10,5,1,0,8.0,7.0
2026-08-08,49003,SAIDAPET,9,13,10,5,1,0,7.0,7.0
2026-08-08,49003,GUINDY,10,15,10,5,1,0,7.0,7.0
2026-08-08,49003,ST THOMAS MOUNT,11,17,10,5,1,0,7.0,8.0
2026-08-08,49003,PALAVANTHANGAL,12,18,10,5,1,0,8.0,7.0
2026-08-08,49003,MINAMBAKKAM,13,20,10,5,1,0,7.0,7.0
